##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#26,4,15
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#13,4,15
##xindex,yindex,xcoord/m,ycoord/m,current/A
1,71,2.0E-6,1.4199999999999998E-4,9.23960031655092E-10
1,72,2.0E-6,1.44E-4,9.238875069911574E-10
1,73,2.0E-6,1.46E-4,9.23814357806577E-10
1,74,2.0E-6,1.48E-4,9.23737587653992E-10
1,75,2.0E-6,1.5E-4,9.237103516667168E-10
1,76,2.0E-6,1.5199999999999998E-4,9.235437548002932E-10
1,77,2.0E-6,1.54E-4,9.235036714897989E-10
1,78,2.0E-6,1.56E-4,9.235237412733498E-10
1,79,2.0E-6,1.58E-4,9.234266540612619E-10
1,80,2.0E-6,1.5999999999999999E-4,9.23283437784354E-10
1,81,2.0E-6,1.6199999999999998E-4,9.232160944750668E-10
1,82,2.0E-6,1.64E-4,9.231409513863489E-10
1,83,2.0E-6,1.66E-4,9.231097820884717E-10
1,84,2.0E-6,1.68E-4,9.230191490717541E-10
1,85,2.0E-6,1.6999999999999999E-4,9.229952151876698E-10
1,86,2.0E-6,1.7199999999999998E-4,9.22948064936038E-10
1,87,2.0E-6,1.74E-4,9.228194010677304E-10
1,88,2.0E-6,1.76E-4,9.228101163203782E-10
1,89,2.0E-6,1.78E-4,9.227294008698029E-10
2,0,4.0E-6,0.0,9.229513382986722E-10
2,1,4.0E-6,2.0E-6,9.230617553458167E-10
2,2,4.0E-6,4.0E-6,9.230958701825237E-10
2,3,4.0E-6,6.0E-6,9.23163122557656E-10
2,4,4.0E-6,8.0E-6,9.232244301713139E-10
2,5,4.0E-6,9.999999999999999E-6,9.232803589721939E-10
2,6,4.0E-6,1.2E-5,9.233629078604923E-10
2,7,4.0E-6,1.4E-5,9.234815793637113E-10
2,8,4.0E-6,1.6E-5,9.234795644342374E-10
2,9,4.0E-6,1.8E-5,9.236032174446292E-10
2,10,4.0E-6,1.9999999999999998E-5,9.236799839737561E-10
2,11,4.0E-6,2.2E-5,9.237069346247086E-10
2,12,4.0E-6,2.4E-5,9.237935580254623E-10
2,13,4.0E-6,2.6E-5,9.239123995512258E-10
2,14,4.0E-6,2.8E-5,9.239927735402849E-10
2,15,4.0E-6,2.9999999999999997E-5,9.24081930810562E-10
2,16,4.0E-6,3.2E-5,9.241335381485108E-10
2,17,4.0E-6,3.4E-5,9.242607781275494E-10
2,18,4.0E-6,3.6E-5,9.243124536002203E-10
2,19,4.0E-6,3.7999999999999995E-5,9.244031659671668E-10
2,20,4.0E-6,3.9999999999999996E-5,9.244530410731587E-10
2,21,4.0E-6,4.2E-5,9.245517727381864E-10
2,22,4.0E-6,4.4E-5,9.246106603994385E-10
2,23,4.0E-6,4.6E-5,9.246905476205052E-10
2,24,4.0E-6,4.8E-5,9.247541298448401E-10
2,25,4.0E-6,4.9999999999999996E-5,9.248604689192776E-10
2,26,4.0E-6,5.2E-5,9.2492386772456E-10
2,27,4.0E-6,5.4E-5,9.249980553079993E-10
2,28,4.0E-6,5.6E-5,9.251109868105802E-10
2,29,4.0E-6,5.8E-5,9.251600454953458E-10
2,30,4.0E-6,5.9999999999999995E-5,9.252702873872073E-10
2,31,4.0E-6,6.2E-5,9.252659345276183E-10
2,32,4.0E-6,6.4E-5,9.253554400244076E-10
2,33,4.0E-6,6.599999999999999E-5,9.25408768424018E-10
2,34,4.0E-6,6.8E-5,9.25500953925654E-10
2,35,4.0E-6,7.0E-5,9.255212749490662E-10
2,36,4.0E-6,7.2E-5,9.255766208585133E-10
2,37,4.0E-6,7.4E-5,9.256305892543811E-10
2,38,4.0E-6,7.599999999999999E-5,9.256140114131239E-10
2,39,4.0E-6,7.8E-5,9.256993228645414E-10
2,40,4.0E-6,7.999999999999999E-5,9.257302880759647E-10
2,41,4.0E-6,8.2E-5,9.257368697242456E-10
2,42,4.0E-6,8.4E-5,9.257712200301598E-10
2,43,4.0E-6,8.599999999999999E-5,9.256574299433542E-10
2,44,4.0E-6,8.8E-5,9.257213004111365E-10
2,45,4.0E-6,8.999999999999999E-5,9.257383765092625E-10
2,46,4.0E-6,9.2E-5,9.258229202186561E-10
2,47,4.0E-6,9.4E-5,9.257789317191821E-10
2,48,4.0E-6,9.6E-5,9.257074340453116E-10
2,49,4.0E-6,9.8E-5,9.256931941405471E-10
2,50,4.0E-6,9.999999999999999E-5,9.256629762943308E-10
2,51,4.0E-6,1.02E-4,9.256109454899243E-10
2,52,4.0E-6,1.04E-4,9.256251974489244E-10
2,53,4.0E-6,1.06E-4,9.255072751931331E-10
2,54,4.0E-6,1.08E-4,9.255301136139752E-10
2,55,4.0E-6,1.0999999999999999E-4,9.253860603372397E-10
2,56,4.0E-6,1.12E-4,9.253880912115341E-10
2,57,4.0E-6,1.1399999999999999E-4,9.253312005101248E-10
2,58,4.0E-6,1.16E-4,9.252216784688466E-10
2,59,4.0E-6,1.18E-4,9.251092950157044E-10
2,60,4.0E-6,1.1999999999999999E-4,9.250262973884819E-10
2,61,4.0E-6,1.22E-4,9.249516037123635E-10
2,62,4.0E-6,1.24E-4,9.249072886084865E-10
2,63,4.0E-6,1.26E-4,9.24819947615791E-10
2,64,4.0E-6,1.28E-4,9.247306088541715E-10
2,65,4.0E-6,1.3E-4,9.245981617778993E-10
2,66,4.0E-6,1.3199999999999998E-4,9.245975008049214E-10
2,67,4.0E-6,1.34E-4,9.245062754904263E-10
2,68,4.0E-6,1.36E-4,9.244032240399018E-10
2,69,4.0E-6,1.38E-4,9.242998278875165E-10
2,70,4.0E-6,1.4E-4,9.242275788307845E-10
2,71,4.0E-6,1.4199999999999998E-4,9.241366190636475E-10
2,72,4.0E-6,1.44E-4,9.240685280340593E-10
2,73,4.0E-6,1.46E-4,9.239230104545823E-10
2,74,4.0E-6,1.48E-4,9.238550785594067E-10
2,75,4.0E-6,1.5E-4,9.237622763392977E-10
2,76,4.0E-6,1.5199999999999998E-4,9.237207760581824E-10
2,77,4.0E-6,1.54E-4,9.23599554097063E-10
2,78,4.0E-6,1.56E-4,9.236033337166332E-10
2,79,4.0E-6,1.58E-4,9.235133315471667E-10
2,80,4.0E-6,1.5999999999999999E-4,9.23426486300889E-10
2,81,4.0E-6,1.6199999999999998E-4,9.233219798285145E-10
2,82,4.0E-6,1.64E-4,9.231988208260606E-10
2,83,4.0E-6,1.66E-4,9.231872886328071E-10
2,84,4.0E-6,1.68E-4,9.231354620733943E-10
2,85,4.0E-6,1.6999999999999999E-4,9.230367310214398E-10
2,86,4.0E-6,1.7199999999999998E-4,9.229782621696747E-10
2,87,4.0E-6,1.74E-4,9.229287562422889E-10
2,88,4.0E-6,1.76E-4,9.228123142934856E-10
2,89,4.0E-6,1.78E-4,9.227380251064586E-10
3,0,6.0E-6,0.0,9.230599699092661E-10
3,1,6.0E-6,2.0E-6,9.231709692091062E-10
3,2,6.0E-6,4.0E-6,9.232018878784783E-10
3,3,6.0E-6,6.0E-6,9.23300501068811E-10
3,4,6.0E-6,8.0E-6,9.233693593118474E-10
3,5,6.0E-6,9.999999999999999E-6,9.234085739174529E-10
3,6,6.0E-6,1.2E-5,9.234489431352273E-10
3,7,6.0E-6,1.4E-5,9.235525752614671E-10
3,8,6.0E-6,1.6E-5,9.236397423194821E-10
3,9,6.0E-6,1.8E-5,9.237563924935947E-10
3,10,6.0E-6,1.9999999999999998E-5,9.238209120211775E-10
3,11,6.0E-6,2.2E-5,9.238576278178544E-10
3,12,6.0E-6,2.4E-5,9.239809017050395E-10
3,13,6.0E-6,2.6E-5,9.240930908694717E-10
3,14,6.0E-6,2.8E-5,9.241422634046844E-10
3,15,6.0E-6,2.9999999999999997E-5,9.242298015745928E-10
3,16,6.0E-6,3.2E-5,9.243305887132856E-10
3,17,6.0E-6,3.4E-5,9.244320300775913E-10
3,18,6.0E-6,3.6E-5,9.245263746017296E-10
3,19,6.0E-6,3.7999999999999995E-5,9.245661319009395E-10
3,20,6.0E-6,3.9999999999999996E-5,9.246751997685946E-10
3,21,6.0E-6,4.2E-5,9.247720790865465E-10
3,22,6.0E-6,4.4E-5,9.248174662639116E-10
3,23,6.0E-6,4.6E-5,9.248876357673749E-10
3,24,6.0E-6,4.8E-5,9.250456237679336E-10
3,25,6.0E-6,4.9999999999999996E-5,9.250923549432779E-10
3,26,6.0E-6,5.2E-5,9.251549981230143E-10
3,27,6.0E-6,5.4E-5,9.2520175798443E-10
3,28,6.0E-6,5.6E-5,9.25258941198671E-10
3,29,6.0E-6,5.8E-5,9.253657037082669E-10
3,30,6.0E-6,5.9999999999999995E-5,9.254414118384067E-10
3,31,6.0E-6,6.2E-5,9.254690364066131E-10
3,32,6.0E-6,6.4E-5,9.255569639146097E-10
3,33,6.0E-6,6.599999999999999E-5,9.256096179406892E-10
3,34,6.0E-6,6.8E-5,9.256823947093751E-10
3,35,6.0E-6,7.0E-5,9.258128472573017E-10
3,36,6.0E-6,7.2E-5,9.258649250565067E-10
3,37,6.0E-6,7.4E-5,9.258816852949238E-10
3,38,6.0E-6,7.599999999999999E-5,9.258162551416187E-10
3,39,6.0E-6,7.8E-5,9.259488704856748E-10
3,40,6.0E-6,7.999999999999999E-5,9.259816581784587E-10
3,41,6.0E-6,8.2E-5,9.259954635318865E-10
3,42,6.0E-6,8.4E-5,9.260203725272494E-10
3,43,6.0E-6,8.599999999999999E-5,9.259929655225974E-10
3,44,6.0E-6,8.8E-5,9.260078651048112E-10
3,45,6.0E-6,8.999999999999999E-5,9.260017829066087E-10
3,46,6.0E-6,9.2E-5,9.260280364857244E-10
3,47,6.0E-6,9.4E-5,9.260463106319172E-10
3,48,6.0E-6,9.6E-5,9.259633611474472E-10
3,49,6.0E-6,9.8E-5,9.26004392025163E-10
3,50,6.0E-6,9.999999999999999E-5,9.260387349646765E-10
3,51,6.0E-6,1.02E-4,9.259341521695964E-10
3,52,6.0E-6,1.04E-4,9.259209880248591E-10
3,53,6.0E-6,1.06E-4,9.257526491396736E-10
3,54,6.0E-6,1.08E-4,9.257826965427377E-10
3,55,6.0E-6,1.0999999999999999E-4,9.257540364435798E-10
3,56,6.0E-6,1.12E-4,9.25638958808008E-10
3,57,6.0E-6,1.1399999999999999E-4,9.255304116305371E-10
3,58,6.0E-6,1.16E-4,9.254795192078696E-10
3,59,6.0E-6,1.18E-4,9.25422428265297E-10
3,60,6.0E-6,1.1999999999999999E-4,9.253209579509422E-10
